,Country,Region,Happiness Score_2015,Economy (GDP per Capita)_2015,Happiness Score_2016,Economy (GDP per Capita)_2016
93,Dominican Republic,Latin America and Caribbean,4.885,0.8953700000000001,5.155,1.02787
94,Laos,Southeastern Asia,4.876,0.5906600000000001,4.876,0.68042
95,Mongolia,Eastern Asia,4.874,0.82819,4.907,0.9885299999999999
96,Greece,Western Europe,4.857,1.15406,5.033,1.24886
97,Lebanon,Middle East and Northern Africa,4.8389999999999995,1.0256399999999999,5.129,1.12268
98,Hungary,Central and Eastern Europe,4.8,1.12094,5.145,1.24142
99,Honduras,Latin America and Caribbean,4.788,0.59532,4.871,0.69429
100,Tajikistan,Central and Eastern Europe,4.7860000000000005,0.39047,4.996,0.48835
101,Tunisia,Middle East and Northern Africa,4.739,0.88113,5.045,0.97724
102,Palestinian Territories,Middle East and Northern Africa,4.715,0.59867,4.754,0.67024
103,Bangladesh,Southern Asia,4.694,0.39753,4.643,0.54177
104,Iran,Middle East and Northern Africa,4.686,1.0088,4.813,1.11758
105,Ukraine,Central and Eastern Europe,4.681,0.79907,4.324,0.87287
106,Iraq,Middle East and Northern Africa,4.677,0.98549,4.575,1.07474
107,South Africa,Sub-Saharan Africa,4.6419999999999995,0.9204899999999999,4.459,1.02416
108,Ghana,Sub-Saharan Africa,4.633,0.5455800000000001,4.276,0.63107
109,Zimbabwe,Sub-Saharan Africa,4.61,0.271,4.1930000000000005,0.35041
110,Liberia,Sub-Saharan Africa,4.571000000000001,0.0712,3.622,0.10705999999999999
111,India,Southern Asia,4.565,0.64499,4.404,0.74036
112,Sudan,Sub-Saharan Africa,4.55,0.52107,4.138999999999999,0.63069
113,Haiti,Latin America and Caribbean,4.518,0.26673,4.0280000000000005,0.34097
114,Congo (Kinshasa),Sub-Saharan Africa,4.5169999999999995,0.0,4.272,0.05661
115,Nepal,Southern Asia,4.513999999999999,0.35996999999999996,4.793,0.44626000000000005
116,Ethiopia,Sub-Saharan Africa,4.512,0.19072999999999998,4.508,0.29283000000000003
117,Sierra Leone,Sub-Saharan Africa,4.507,0.33024000000000003,4.635,0.36485
