,Country,Region,Happiness Score_2015,Economy (GDP per Capita)_2015,Happiness Score_2016,Economy (GDP per Capita)_2016,2015 Domestic General Government Health Expenditure (GGHE-D) as % Gross Domestic Product (GDP),2016 Domestic General Government Health Expenditure (GGHE-D) as % Gross Domestic Product (GDP),2015 Domestic General Government Health Expenditure (GGHE-D) per Capita in PPP Int$,2016 Domestic General Government Health Expenditure (GGHE-D) per Capita in PPP Int$,2015 Domestic Private Health Expenditure (PVT-D) per Capita in PPP Int$,2016 Domestic Private Health Expenditure (PVT-D) per Capita in PPP Int$,2015 Out-of-Pocket Expenditure (OOPS) per Capita in PPP Int$,2016 Out-of-Pocket Expenditure (OOPS) per Capita in PPP Int$
32,Spain,Western Europe,6.329,1.23011,6.361000000000001,1.34253,7,6.0,"2,263","2,322",912,938,755,777
33,Malta,Western Europe,6.3020000000000005,1.2074,6.4879999999999995,1.30782,6,6.0,"2,056","2,216","1,333","1,295","1,257","1,221"
34,Kuwait,Middle East and Northern Africa,6.295,1.5542200000000002,6.239,1.61714,3,3.0,"2,462","2,432",465,467,421,467
35,Suriname,Latin America and Caribbean,6.269,0.99534,6.269,1.09686,4,4.0,635,630,416,265,213,198
36,Trinidad and Tobago,Latin America and Caribbean,6.167999999999999,1.21183,6.167999999999999,1.32572,3,3.0,"1,104","1,151","1,039","1,028",886,874
37,El Salvador,Latin America and Caribbean,6.13,0.76454,6.068,0.8737,4,4.0,369,387,193,199,160,163
38,Guatemala,Latin America and Caribbean,6.122999999999999,0.74553,6.324,0.83454,2,2.0,150,172,274,286,248,247
39,Uzbekistan,Central and Eastern Europe,6.002999999999999,0.63244,5.987,0.7359100000000001,3,3.0,186,192,183,220,181,218
40,Slovakia,Central and Eastern Europe,5.995,1.1689100000000001,6.077999999999999,1.27973,5,6.0,"1,599","1,734",429,438,374,387
41,Japan,Eastern Asia,5.987,1.27074,5.921,1.3800700000000001,9,9.0,"3,698","3,839",700,754,569,618
42,Ecuador,Latin America and Caribbean,5.975,0.8640200000000001,5.976,0.97306,4,4.0,485,483,494,457,431,382
43,Bahrain,Middle East and Northern Africa,5.96,1.32376,6.218,1.44024,3,3.0,"1,510","1,145",817,721,601,522
44,Italy,Western Europe,5.9479999999999995,1.25114,5.977,1.35495,7,7.0,"2,453","2,552",836,875,761,792
45,Paraguay,Latin America and Caribbean,5.877999999999999,0.75985,5.537999999999999,0.8937299999999999,4,4.0,385,396,334,371,262,291
46,Kazakhstan,Central and Eastern Europe,5.855,1.1225399999999999,5.919,1.22943,2,2.0,474,505,287,344,242,305
47,Slovenia,Central and Eastern Europe,5.848,1.18498,5.768,1.2994700000000001,6,6.0,"1,910","2,004",767,768,334,333
48,Lithuania,Central and Eastern Europe,5.832999999999999,1.14723,5.813,1.2692,4,4.0,"1,225","1,298",623,661,590,640
49,Nicaragua,Latin America and Caribbean,5.827999999999999,0.59325,5.992000000000001,0.69384,5,5.0,239,297,158,165,149,156
50,Peru,Latin America and Caribbean,5.824,0.9001899999999999,5.742999999999999,0.9960200000000001,3,3.0,412,436,238,243,189,193
51,Belarus,Central and Eastern Europe,5.813,1.0319200000000002,5.8020000000000005,1.1306200000000002,4,4.0,677,707,432,441,403,412
52,Poland,Central and Eastern Europe,5.791,1.12555,5.835,1.24585,4,5.0,"1,178","1,244",505,537,392,409
53,Malaysia,Southeastern Asia,5.77,1.12486,6.005,1.25142,2,2.0,551,531,486,521,368,396
54,Croatia,Central and Eastern Europe,5.7589999999999995,1.08254,5.4879999999999995,1.18649,6,6.0,"1,278","1,334",343,371,251,262
55,Jamaica,Latin America and Caribbean,5.709,0.81038,5.51,0.89333,4,4.0,309,324,174,205,92,120
56,Cyprus,Western Europe,5.689,1.20813,5.546,1.31857,3,3.0,910,958,"1,210","1,286",952,"1,020"
57,Algeria,Middle East and Northern Africa,5.605,0.93929,6.355,1.05266,5,5.0,719,676,301,322,288,308
58,Turkmenistan,Central and Eastern Europe,5.547999999999999,0.95847,5.6579999999999995,1.08017,2,1.0,241,207,762,908,715,851
59,Mauritius,Sub-Saharan Africa,5.477,1.0076100000000001,5.648,1.14372,2,3.0,478,532,640,672,569,581
60,Estonia,Central and Eastern Europe,5.428999999999999,1.15174,5.517,1.2796399999999999,5,5.0,"1,402","1,499",455,484,424,451
61,Indonesia,Southeastern Asia,5.399,0.8282700000000001,5.314,0.95104,1,1.0,134,162,196,199,135,135
62,Turkey,Middle East and Northern Africa,5.332000000000001,1.06098,5.388999999999999,1.1649200000000002,3,3.0,803,854,225,235,174,179
63,Kyrgyzstan,Central and Eastern Europe,5.2860000000000005,0.47428000000000003,5.185,0.5604399999999999,3,3.0,94,94,140,138,140,138
64,Nigeria,Sub-Saharan Africa,5.268,0.65435,4.875,0.75216,1,0.0,36,28,159,165,155,161
65,Bhutan,Southern Asia,5.252999999999999,0.77042,5.196000000000001,0.8527,3,3.0,213,217,59,62,57,59
66,Azerbaijan,Central and Eastern Europe,5.212000000000001,1.02389,5.291,1.12373,1,1.0,255,238,960,950,952,942
67,Pakistan,Southern Asia,5.194,0.59543,5.132000000000001,0.68816,1,1.0,37,40,92,98,89,94
68,Jordan,Middle East and Northern Africa,5.192,0.9019799999999999,5.303,0.9967299999999999,4,3.0,325,313,205,154,143,138
69,China,Eastern Asia,5.14,0.89012,5.245,1.0278,3,3.0,423,442,280,320,247,273
70,Zambia,Sub-Saharan Africa,5.129,0.47038,4.795,0.61202,2,2.0,81,67,28,34,21,21
71,Romania,Central and Eastern Europe,5.124,1.04345,5.528,1.1697,4,4.0,829,901,234,251,226,239
72,Serbia,Central and Eastern Europe,5.122999999999999,0.92053,5.1770000000000005,1.03437,5,5.0,752,767,546,553,529,536
73,Portugal,Western Europe,5.102,1.15991,5.122999999999999,1.27607,6,6.0,"1,750","1,844",895,935,733,771
